method, state, duration, image
Minor Concrete, california, nonpermanent, img1.jpg
Minor Concrete Pavement, texas, permanent, none
Asphalt Composite, wisconsin, nonpermanent, img2.jpg/img3.jpg
Stamped Asphalt Paving, texas/arizona/florida, permanent, img4.jpg
Patterned Concrete Pavement, texas, nonpermanent, img5.jpg
Rock Blanket, california, permanent, img6.jpg
Gravel Mulch, california/nevada, nonpermanent, img1.jpg
Aggregate Base, texas, permanent, img2.jpg
Rock Slope Protection, wisconsin/kentucky/alabama, nonpermanent, img3.jpg
control10, texas, permanent, img4.jpg
control11, texas/florida, nonpermanent, img5.jpg
control12, california/new york, permanent, img6.jpg
